Image,R,G,B,H,S,V,pH
soil_0001.jpg,208,122,105,9.93,126.74,207.76,5.87
soil_0002.jpg,237,172,125,25.19,120.2,237.27,8.75
soil_0003.jpg,238,145,108,16.92,138.56,237.53,7.66
soil_0004.jpg,229,156,102,25.51,141.59,229.45,6.99
soil_0005.jpg,195,120,81,20.7,148.81,194.69,4.78
soil_0006.jpg,200,106,82,12.36,150.2,199.9,4.78
soil_0007.jpg,190,110,73,19.01,156.71,189.83,4.29
soil_0008.jpg,249,161,115,20.37,136.65,248.71,8.33
soil_0009.jpg,223,153,107,23.56,132.66,222.95,7.01
soil_0010.jpg,215,169,118,31.32,115.02,215.26,7.54
soil_0011.jpg,183,93,82,6.87,140.77,182.85,4.1
soil_0012.jpg,254,176,127,22.78,127.31,254.25,8.85
soil_0013.jpg,244,164,121,20.95,129.13,244.2,8.16
soil_0014.jpg,181,129,81,29.18,140.99,180.66,5.06
soil_0015.jpg,180,123,86,23.59,133.06,180.29,4.91
soil_0016.jpg,202,115,80,17.14,154.17,201.79,4.92
soil_0017.jpg,200,127,98,16.8,130.07,200.16,5.52
soil_0018.jpg,224,137,92,20.53,150.64,224.43,6.62
soil_0019.jpg,211,148,98,26.53,136.48,210.76,6.16
soil_0020.jpg,200,129,95,19.31,133.58,199.93,5.46
soil_0021.jpg,234,167,113,27.12,132.13,233.81,7.06
soil_0022.jpg,183,118,106,9.58,107.61,182.69,4.7
soil_0023.jpg,201,122,96,15.28,133.48,200.59,5.46
soil_0024.jpg,201,120,89,16.68,141.93,200.74,5.83
soil_0025.jpg,208,124,101,12.44,130.62,208.0,6.28
soil_0026.jpg,235,148,107,19.16,138.82,234.82,7.93
soil_0027.jpg,195,125,87,21.16,141.26,194.72,5.0
soil_0028.jpg,212,148,99,26.18,136.08,212.05,6.57
soil_0029.jpg,235,135,117,8.82,127.89,235.44,6.96
soil_0030.jpg,172,120,74,28.29,144.68,171.62,4.23
soil_0031.jpg,222,146,110,19.07,128.76,222.25,7.04
soil_0032.jpg,186,122,81,23.47,144.24,185.78,4.85
soil_0033.jpg,197,128,94,19.98,133.45,196.58,4.33
soil_0034.jpg,252,181,128,25.6,125.76,252.44,8.74
soil_0035.jpg,255,172,146,14.11,108.79,255.0,8.83
soil_0036.jpg,225,156,129,16.63,108.68,224.76,8.04
soil_0037.jpg,203,110,97,7.26,132.87,203.23,5.52
soil_0038.jpg,193,109,85,13.53,143.53,193.49,4.49
soil_0039.jpg,231,153,118,18.58,124.12,230.83,7.42
soil_0040.jpg,222,130,86,19.4,156.25,221.75,6.2
soil_0041.jpg,181,116,81,21.06,141.37,181.28,4.61
soil_0042.jpg,230,143,111,16.18,131.37,229.53,6.48
soil_0043.jpg,203,109,78,15.21,157.39,202.62,4.17
soil_0044.jpg,244,165,117,22.47,132.59,243.9,8.55
soil_0045.jpg,193,128,90,22.04,135.25,192.54,5.29
soil_0046.jpg,243,158,128,15.61,120.91,242.84,7.31
soil_0047.jpg,217,120,104,8.67,132.87,216.98,5.56
soil_0048.jpg,212,157,105,28.91,128.26,212.07,6.6
soil_0049.jpg,215,145,115,17.96,118.67,215.11,6.73
soil_0050.jpg,188,122,84,21.72,141.81,188.44,4.92
soil_0051.jpg,239,181,118,31.2,128.8,238.73,8.85
soil_0052.jpg,228,163,113,26.28,128.34,227.95,7.88
soil_0053.jpg,240,181,143,23.74,103.42,239.81,8.7
soil_0054.jpg,239,172,125,24.72,121.18,238.61,8.47
soil_0055.jpg,223,144,108,18.55,131.0,223.0,6.99
soil_0056.jpg,251,174,127,23.13,126.26,250.8,8.61
soil_0057.jpg,199,105,96,4.86,131.81,199.33,4.44
soil_0058.jpg,182,123,100,16.79,114.66,182.21,4.98
soil_0059.jpg,190,112,96,9.84,125.9,190.41,4.23
soil_0060.jpg,200,129,93,20.06,135.9,200.13,5.63
soil_0061.jpg,207,134,101,18.9,130.73,206.58,5.94
soil_0062.jpg,205,110,80,14.8,156.02,204.83,5.36
soil_0063.jpg,230,160,135,15.57,104.82,229.94,8.14
soil_0064.jpg,208,134,87,23.12,148.4,208.41,5.78
soil_0065.jpg,200,129,94,20.0,135.58,200.36,5.4
soil_0066.jpg,224,136,98,18.14,142.96,223.93,6.71
soil_0067.jpg,191,130,79,27.2,148.93,190.74,4.7
soil_0068.jpg,255,155,115,17.16,139.58,255.0,8.01
soil_0069.jpg,176,123,75,28.13,145.99,176.36,4.37
soil_0070.jpg,248,179,128,25.57,123.05,248.11,8.93
soil_0071.jpg,231,155,116,20.57,126.72,230.6,7.86
soil_0072.jpg,187,138,94,28.66,126.6,186.79,4.99
soil_0073.jpg,171,99,68,18.05,154.39,171.09,4.03
soil_0074.jpg,252,172,125,22.44,128.9,252.13,8.08
soil_0075.jpg,246,166,126,19.73,124.0,245.92,7.53
soil_0076.jpg,228,152,114,20.2,127.57,227.87,7.65
soil_0077.jpg,229,174,115,31.09,127.06,228.51,7.86
soil_0078.jpg,187,112,78,18.34,148.33,187.45,4.37
soil_0079.jpg,199,136,106,19.15,119.29,199.22,5.79
soil_0080.jpg,192,119,84,19.4,143.33,192.32,4.58
soil_0081.jpg,246,166,121,21.52,129.12,245.99,8.32
soil_0082.jpg,210,158,116,27.1,114.58,210.2,7.12
soil_0083.jpg,218,138,86,23.77,154.24,218.05,5.65
soil_0084.jpg,200,98,85,6.51,146.41,199.92,4.32
soil_0085.jpg,195,142,97,27.34,127.96,194.9,5.55
soil_0086.jpg,198,116,92,13.44,136.38,198.39,5.63
soil_0087.jpg,236,168,111,26.99,135.0,236.43,7.65
soil_0088.jpg,230,162,106,27.35,137.82,229.79,7.19
soil_0089.jpg,252,159,131,13.77,122.31,252.41,8.44
soil_0090.jpg,234,137,113,12.02,131.72,233.68,6.36
soil_0091.jpg,185,107,78,16.5,147.49,184.53,4.6
soil_0092.jpg,224,155,121,20.0,117.79,224.35,7.57
soil_0093.jpg,222,158,103,27.47,136.74,222.11,7.8
soil_0094.jpg,213,154,104,27.54,131.07,213.25,6.81
soil_0095.jpg,236,173,120,27.21,125.5,236.34,7.85
soil_0096.jpg,233,155,97,25.47,148.81,233.23,6.47
soil_0097.jpg,212,139,99,21.44,136.65,212.28,6.61
soil_0098.jpg,212,136,95,20.87,140.63,212.41,6.14
soil_0099.jpg,179,96,80,9.56,141.18,178.85,4.13
soil_0100.jpg,197,109,81,14.58,150.66,197.25,4.54
soil_0101.jpg,205,120,60,24.82,180.36,204.75,4.16
soil_0102.jpg,221,166,96,33.91,144.68,220.98,7.18
soil_0103.jpg,196,119,89,16.72,139.21,196.44,5.57
soil_0104.jpg,227,138,109,14.8,132.6,226.81,6.54
soil_0105.jpg,254,170,106,25.88,148.43,254.19,8.54
soil_0106.jpg,215,128,86,19.63,152.48,214.84,5.25
soil_0107.jpg,215,129,95,17.12,141.69,214.61,6.05
soil_0108.jpg,232,164,131,19.68,111.48,232.0,7.78
soil_0109.jpg,201,120,86,17.86,145.63,200.58,5.14
soil_0110.jpg,194,114,83,16.59,145.32,193.98,4.38
soil_0111.jpg,208,133,94,20.91,139.82,207.68,5.45
soil_0112.jpg,195,120,68,24.56,165.55,194.63,4.81
soil_0113.jpg,255,168,136,16.2,119.38,255.0,8.65
soil_0114.jpg,251,163,124,18.11,128.99,251.31,8.04
soil_0115.jpg,240,151,117,16.76,131.17,239.96,7.17
soil_0116.jpg,251,165,158,4.48,94.98,251.07,8.36
soil_0117.jpg,238,161,106,25.16,141.73,237.64,8.02
soil_0118.jpg,193,136,100,23.02,122.14,192.88,4.93
soil_0119.jpg,255,174,125,22.74,130.01,255.0,8.46
soil_0120.jpg,211,143,109,19.8,122.65,210.68,6.7
soil_0121.jpg,243,170,122,23.62,127.04,243.31,8.04
soil_0122.jpg,243,166,124,21.46,124.48,242.51,8.48
soil_0123.jpg,202,141,90,27.43,141.69,201.93,5.59
soil_0124.jpg,198,120,85,18.42,145.75,198.31,4.55
soil_0125.jpg,197,123,77,23.3,155.15,196.58,5.14
soil_0126.jpg,211,142,107,20.36,125.93,210.63,6.14
soil_0127.jpg,227,150,120,17.02,120.41,226.8,8.09
soil_0128.jpg,251,157,116,18.04,136.79,251.11,8.3
soil_0129.jpg,184,99,73,13.99,154.14,183.92,4.03
soil_0130.jpg,238,145,115,14.33,131.46,238.16,6.55
soil_0131.jpg,206,153,96,30.96,136.65,206.32,6.09
soil_0132.jpg,196,144,92,30.03,136.02,196.4,5.11
soil_0133.jpg,189,123,77,24.59,150.93,188.79,4.6
soil_0134.jpg,219,136,101,17.79,136.8,218.97,5.69
soil_0135.jpg,249,156,136,10.97,116.11,249.05,8.71
soil_0136.jpg,205,126,109,10.41,118.83,204.9,5.62
soil_0137.jpg,223,137,104,16.41,135.76,223.22,6.59
soil_0138.jpg,233,151,122,15.65,121.91,233.43,7.52
soil_0139.jpg,201,132,98,20.0,130.88,200.75,5.82
soil_0140.jpg,254,170,142,15.05,112.34,254.27,8.86
